event_date,event_timestamp,event_name,user_pseudo_id,device_category,device_os,page_location
20250223,1.74E+15,form_submit,339.572.387,mobile,Windows,https://smileguru.com
20250223,1.74E+15,form_submit,,tablet,Linux,https://smileguru.com/contact
20250223,1.74E+15,form_submit,893.663.600,,,https://smileguru.com/orthodontics
20250223,invalid_timestamp,page_view,862.730.629,desktop,Android,https://smileguru.com/about
20250223,1.74E+15,page_view,760.233.165,desktop,Windows,https://smileguru.com/about
20250223,1.74E+15,page_view,760.233.165,desktop,Windows,https://smileguru.com/about
20250223,1.74E+15,page_view,842.980.637,desktop,Android,https://smileguru.com/teeth-whitening
20250223,1.74E+15,form_submit,734.526.177,smartwatch,Android,https://smileguru.com/home
20250223,1.74E+15,page_view,505.398.716,mobile,Windows,https://smileguru.com/about
20250223,1.74E+15,,708.566.257,tablet,Android,
20250223,1.74E+15,form_submit,242.484.760,mobile,iOS,https://smileguru.com/about-us
20250223,invalid_timestamp,form_submit,180.649.587,mobile,Windows,https://smileguru.com/dental-implants
20250223,1.74E+15,form_submit,744.833.376,tablet,Linux,https://smileguru.com/emergency-dental
20250223,1.74E+15,form_submit,744.833.376,tablet,Linux,https://smileguru.com/emergency-dental
20250223,1.74E+15,scroll,272.963.902,tablet,Windows,https://smileguru.com/index
,1.74E+15,scroll,217.112.547,tablet,iOS,https://smileguru.com/teeth-whitening
20250223,1.74E+15,form_submit,582.406.302,mobile,iOS,https://smileguru.com/about-us
20250223,1.74E+15,scroll,189.279.843,desktop,Windows,
20250223,1.74E+15,form_submit,254.258.393,tablet,Android,https://smileguru.com/contact
20250223,1.74E+15,,461.474.184,tablet,Android,https://smileguru.com/orthodontics
20250223,1.74E+15,scroll,889.328.367,,,https://smileguru.com/dental-implants
20250223,1.74E+15,scroll,639.807.978,mobile,,https://smileguru.com/dental-implants
20250223,1.74E+15,page_view,,tablet,Android,https://smileguru.com/contact
20250223,1.74E+15,page_view,131.557.950,desktop,Windows,https://smileguru.com/index
20250223,1.74E+15,scroll,633.314.329,mobile,Windows,https://smileguru.com/contact
20250223,1.74E+15,form_submit,520.635.879,desktop,,
20250223,1.74E+15,click,635.162.254,smartwatch,Windows,https://smileguru.com/about-us
20250223,1.74E+15,click,717.774.268,tablet,iOS,https://smileguru.com/home
20250223,1.74E+15,page_view,856.782.213,mobile,iOS,https://smileguru.com/teeth-whitening
20250223,1.74E+15,scroll,172.358.685,mobile,Android,https://smileguru.com/contact
20250223,1.74E+15,scroll,172.358.685,mobile,Android,https://smileguru.com/contact
20250223,1.74E+15,form_submit,119.942.236,mobile,Windows,https://smileguru.com/teeth-whitening
20250223,1.74E+15,scroll,670.700.892,tablet,iOS,https://smileguru.com/about
20250223,1.74E+15,click,158.151.418,,Windows,https://smileguru.com/about
20250223,1.74E+15,click,201.673.920,desktop,Windows,https://smileguru.com/teeth-whitening
20250223,1.74E+15,click,184.440.721,desktop,Android,https://smileguru.com/home
,1.74E+15,click,548.854.689,,iOS,https://smileguru.com/home
20250223,1.74E+15,click,785.229.638,tablet,iOS,https://smileguru.com/about
20250223,1.74E+15,form_submit,722.535.431,tablet,Windows,https://smileguru.com/about-us
20250223,1.74E+15,scroll,102.511.614,mobile,Windows,https://smileguru.com/root-canal
20250223,1.74E+15,form_submit,572.112.474,tablet,Windows,https://smileguru.com/contact
20250223,1.74E+15,form_submit,233.659.486,mobile,Windows,https://smileguru.com/about-us
20250223,1.74E+15,form_submit,927.303.416,tablet,iOS,https://smileguru.com/teeth-whitening
20250223,1.74E+15,page_view,883.165.111,mobile,iOS,https://smileguru.com/cosmetic-dentistry
20250223,1.74E+15,scroll,931.155.994,mobile,iOS,https://smileguru.com/index
20250223,1.74E+15,page_view,929.733.837,desktop,,https://smileguru.com/home
20250223,1.74E+15,scroll,256.866.596,mobile,Windows,https://smileguru.com/orthodontics
20250223,invalid_timestamp,,642.923.380,desktop,,https://smileguru.com/emergency-dental
20250223,1.74E+15,scroll,,mobile,Windows,
20250223,invalid_timestamp,,800.507.966,desktop,Android,https://smileguru.com/dental-implants
20250223,1.74E+15,page_view,557.786.614,,iOS,https://smileguru.com/orthodontics
20250223,1.74E+15,form_submit,114.569.874,desktop,Windows,https://smileguru.com/emergency-dental
20250223,1.74E+15,click,682.910.502,tablet,iOS,https://smileguru.com/teeth-whitening
20250223,1.74E+15,scroll,123.368.665,desktop,Windows,https://smileguru.com/root-canal
20250223,1.74E+15,page_view,616.666.495,desktop,Android,https://smileguru.com/dental-implants
20250223,1.74E+15,form_submit,191.172.749,,iOS,https://smileguru.com/teeth-whitening
20250223,1.74E+15,scroll,913.284.270,tablet,Android,https://smileguru.com/home
20250223,1.74E+15,scroll,834.750.495,mobile,Windows,https://smileguru.com/emergency-dental
20250223,1.74E+15,page_view,953.232.946,tablet,iOS,https://smileguru.com/root-canal
20250223,1.74E+15,scroll,305.410.285,desktop,Android,https://smileguru.com/teeth-whitening
20250223,1.74E+15,,,mobile,iOS,https://smileguru.com/orthodontics
20250223,1.74E+15,click,129.819.362,,Android,https://smileguru.com/contact
20250223,1.74E+15,scroll,170.852.325,mobile,Windows,https://smileguru.com/emergency-dental
20250223,1.74E+15,page_view,821.586.285,mobile,Android,https://smileguru.com/teeth-whitening
20250223,1.74E+15,scroll,991.775.747,tablet,,https://smileguru.com/about-us
20250223,invalid_timestamp,click,163.808.733,desktop,Android,https://smileguru.com/contact
20250223,1.74E+15,scroll,589.776.207,tablet,iOS,https://smileguru.com/root-canal
20250223,1.74E+15,page_view,,tablet,Android,
20250223,1.74E+15,form_submit,980.445.826,tablet,Android,https://smileguru.com/home
20250223,1.74E+15,scroll,957.146.858,desktop,Windows,https://smileguru.com/root-canal
20250223,1.74E+15,click,237.520.926,tablet,Android,https://smileguru.com/about-us
20250223,1.74E+15,page_view,,mobile,Windows,https://smileguru.com/teeth-whitening
